"Darwin (ppc)","1"
"DragonFlyBSD (amd64)","1"
"HP-UX (PA_RISC2.0W)","1"
"Linux (s390)","1"
"Linux (sparcv9)","1"
"Linux (x86_64)","1"
"Linux (zArch_64)","1"
"Mac OS X (arm64)","1"
"MidnightBSD (i386)","1"
"NONSTOP_KERNEL (amd64)","1"
"OpenBSD (aarch64)","1"
"Windows Vista (amd64)","1"
"MidnightBSD (amd64)","2"
"Windows 10 (aarch64)","2"
"Windows XP (amd64)","2"
"FreeBSD (aarch64)","3"
"NetBSD (amd64)","3"
"Linux (e2k)","4"
"Windows Server 2016 Standard (amd64)","4"
"NONSTOP_KERNEL (IA64N)","5"
"HP-UX (ia64)","6"
"OS/400 (ppc)","7"
"Windows 11 (aarch64)","7"
"NONSTOP_KERNEL (x86_64N)","9"
"HP-UX (PA_RISC2.0)","11"
"OS400 (ppc64)","11"
"Linux (ppc)","12"
"Linux (sw64)","13"
"HP-UX (IA64W)","17"
"Linux (x86)","23"
"OpenBSD (amd64)","23"
"SunOS (x86)","25"
"Windows 2003 (amd64)","26"
"FreeBSD (i386)","28"
"Linux (riscv64)","32"
"Windows Server version 2009 (amd64)","33"
"Windows 8 (x86)","43"
"Linux (ppc64)","49"
"Linux (mips64el)","50"
"OS/400 (ppc64)","52"
"Windows Vista (x86)","52"
"AIX (ppc)","59"
"SunOS (sparc)","67"
"Windows Server 2008 (amd64)","78"
"Windows 8 (amd64)","96"
"Windows Server 2008 (x86)","100"
"Windows XP (x86)","107"
"Linux (loongarch64)","111"
"Windows Server 2022 (x86)","131"
"Windows 2003 (x86)","142"
"z/OS (s390x)","179"
"HP-UX (IA64N)","191"
"Windows 11 (x86)","198"
"Linux (s390x)","239"
"Windows 8.1 (x86)","287"
"Windows Server 2012 (x86)","290"
"SunOS (amd64)","392"
"Windows NT (unknown) (x86)","464"
"Windows 8.1 (amd64)","609"
"Linux (ppc64le)","686"
"FreeBSD (amd64)","721"
"Windows Server 2008 R2 (x86)","805"
"SunOS (sparcv9)","939"
"Windows Server 2012 (amd64)","1094"
"AIX (ppc64)","1465"
"Windows 7 (x86)","1737"
"Windows NT (unknown) (amd64)","1961"
"Windows Server 2019 (x86)","2111"
"Linux (arm)","2777"
"Windows Server 2008 R2 (amd64)","2827"
"Linux (i386)","3037"
"Windows Server 2012 R2 (x86)","3149"
"Windows 7 (amd64)","3351"
"Windows Server 2016 (x86)","4933"
"Windows Server 2022 (amd64)","5455"
"Windows 11 (amd64)","7685"
"Mac OS X (aarch64)","8293"
"Windows 10 (x86)","8890"
"Linux (aarch64)","9952"
"Windows Server 2012 R2 (amd64)","13591"
"Mac OS X (x86_64)","22505"
"Windows Server 2019 (amd64)","29950"
"Windows Server 2016 (amd64)","36159"
"Windows 10 (amd64)","73178"
"N/A","342955"
"Linux (amd64)","620640"
